Amélie de Montchalin;ameli də mɔ̃tʃalɛ̃
Cosson;kɔsɔ̃
Christelle Petex;ʃristələ pɛtɛ
Petex;pətɛ
Pascal Lecamp;paskal lɛkɑ̃p
Lecamp;ləkɑ̃p
Jean-Gérard Paumier;ʒəɑ̃ʒerar pomí
Paumier;pomí
Bernard Buis;bɛrnar bɥi
Buis;bɥi
Stéphane Fouassin;stefanə fwasɛ̃
Fouassin;fwasɛ̃
Jocelyn Dessigny;ʒɔzɛlɛ̃ dɛsiɲi
Dessigny;dɛsiɲi
Amélia Lakrafi;amelia lakrafi
Lakrafi;lakrafi
Loïc Prud'homme;loik pry'ɔm
Prud'homme;pry'ɔm
Olivier Cadic;ɔliví kadik
Cadic;kadik
Soumya Bourouaha;sumia burwaa
Bourouaha;burwaa
Jiovanny William;ʒiɔvɑ̃ni wiliɑ̃
William;wiliɑ̃
Franck Dhersin;frɑ̃kk dɛrsɛ̃
Dhersin;dɛrsɛ̃
Agnès Carel;aɲɛ karɛl
Carel;karɛl
Éric Ciotti;erik siɔti
Ciotti;siɔti
Benjamin Lucas-Lundy;bɑ̃ʒamɛ̃ lykalœ̃di
Lucas-Lundy;lykalœ̃di
Toine Bourrat;twanə burra
Bourrat;burra
Jordan Guitton;ʒɔrdɑ̃ ɡyitɔ̃
Guitton;ɡyitɔ̃
Jocelyne Antoine;ʒɔzɛlin ɑ̃twan
Antoine;ɑ̃twan
Philippe Frei;filipə frɛ
Frei;frɛ
Yoann Gillet;iɔɑ̃n ʒilɛt
Gillet;ʒilɛt
Agnès Firmin Le Bodo;aɲɛ firmɛ̃ lə bɔdɔ
Firmin Le Bodo;firmɛ̃ lə bɔdɔ
Élisabeth Borne;elizabɛt bɔrn
Borne;bɔrn
Damien Adam;damiɑ̃ adɑ̃
Adam;adɑ̃
Valérie Boyer;valeri bwá
Éric Husson;erik ysɔ̃
Jean-Claude Tissot;ʒəɑ̃klodə tisɔ
Tissot;tisɔ
Nicole Bonnefoy;nikɔlə bɔ̃nɛfwa
Bonnefoy;bɔ̃nɛfwa
Éric Jeansannetas;erik ʒəɑ̃sɑ̃nɛta
Jeansannetas;ʒəɑ̃sɑ̃nɛta
Frédéric Petit;frederik pɛtit
Dominique de Legge;dɔminikə də lɛɡʒ
de Legge;də lɛɡʒ
Caroline Fiat;karɔlinə fia
Fiat;fia
Ronan Le Gleut;rɔnɑ̃ lə ɡlœ
Le Gleut;lə ɡlœ
Marie Pochon;mari pɔʃɔ̃
Pochon;pɔʃɔ̃
Jean-Luc Brault;ʒəɑ̃lyk brol
Brault;brol
Jacqueline Eustache-Brinio;ʒakkɛlin œstaʃəbriniɔ
Eustache-Brinio;œstaʃəbriniɔ
Raymonde Poncet Monge;rɛmɔ̃də pɔ̃sɛt mɔ̃ʒ
Poncet Monge;pɔ̃sɛt mɔ̃ʒ
Anne-Cécile Violland;ɑ̃nəkezilə viɔlɑ̃d
Violland;viɔlɑ̃d
Robert Wienie Xowie;rɔbɛr wiɛni xɔwi
Xowie;ksɔwi
Isabelle Raimond-Pavero;izabələ rɛmɔ̃dpavɛrɔ
Raimond-Pavero;rɛmɔ̃dpavɛrɔ
Thomas Ménagé;tɔma menaʒe
Ménagé;menaʒe
Yves Bleunven;yvə blœ̃vɑ̃
Bleunven;blœ̃vɑ̃
Christine Loir;ʃristinə lwar
Loir;lwar
Maryse Carrère;marisə karrɛr
Carrère;karrɛr
Patrice Perrot;patrizə pɛrrɔ
Valérie Bazin-Malgras;valeri bazɛ̃malɡra
Bazin-Malgras;bazɛ̃malɡra
Michèle Peyron;miʃɛlə pɛrɔ̃
Peyron;pɛrɔ̃
Philippe Gosselin;filipə ɡɔsɛlɛ̃
Annick Petrus;ɑ̃nikk pɛtry
Petrus;pɛtry
Davy Rimane;davi riman
Rimane;riman
Guillaume Garot;ɡyjomə ɡarɔ
Garot;ɡarɔ
Raquel Garrido;rakɛl ɡarridɔ
Garrido;ɡarridɔ
Bryan Masson;briɑ̃ masɔ̃
Jean-François Longeot;ʒəɑ̃frɑ̃swa lɔ̃ʒɔ
Longeot;lɔ̃ʒɔ
Hervé Saulignac;ɛrve soliɲak
Saulignac;soliɲak
Sophie Taillé-Polian;sɔfi taj́pɔliɑ̃
Taillé-Polian;taj́pɔliɑ̃
Victorin Lurel;viktɔrɛ̃ lyrɛl
Lurel;lyrɛl
Philippe Juvin;filipə ʒyvɛ̃
Juvin;ʒyvɛ̃
Catherine Colonna;katɛrinə kɔlɔ̃na
Colonna;kɔlɔ̃na
Denis Bernaert;dəni bɛrnaɛr
Bernaert;bɛrnaɛr
Alma Dufour;alma dyfur
Dufour;dyfur
Annick Jacquemet;ɑ̃nikk ʒakkəmɛt
Jacquemet;ʒakkəmɛt
Paul Vannier;pol vɑ̃ní
Vannier;vɑ̃ní
Hervé Gillé;ɛrve ʒile
Gillé;ʒile
Michel Canévet;miʃəl kanevɛt
Canévet;kanevɛt
Alain Houpert;alɛ̃ upɛr
Houpert;upɛr
Christophe Béchu;ʃristɔfə beʃy
Béchu;beʃy
Stéphane Vojetta;stefanə vɔʒɛta
Vojetta;vɔʒɛta
Bénédicte Taurine;benedit torin
Taurine;torin
Emmanuel Capus;ɑ̃manɥɛl kapy
Capus;kapy
Serge Muller;sɛrʒə myle
Muller;myle
Jean-Hugues Ratenon;ʒəɑ̃yɡɥɛ ratɛnɔ̃
Ratenon;ratɛnɔ̃
Bruno Rojouan;brynɔ rɔʒwɑ̃
Rojouan;rɔʒwɑ̃
Amélie Oudéa-Castéra;ameli udeakastera
Oudéa-Castéra;udeakastera
Emmanuel Lacresse;ɑ̃manɥɛl lakrɛs
Lacresse;lakrɛs
Charlotte Goetschy-Bolognese;ʃarlɔtə ɡɔɛtsʃibɔlɔɲɛz
Goetschy-Bolognese;ɡɔɛtsʃibɔlɔɲɛz
Catherine Couturier;katɛrinə kutyrí
Couturier;kutyrí
Sabine Van Heghe;sabinə vɑ̃ ɛɡ
Van Heghe;vɑ̃ ɛɡ
Marc Ferracci;mark fɛrraksi
Ferracci;fɛrraksi
Jean-Carles Grelier;ʒəɑ̃karlə ɡrɛlí
Grelier;ɡrəlí
Josy Poueyto;ʒɔsi pwɛtɔ
Poueyto;pwɛtɔ
Ludovic Mendes;lydɔvik mɑ̃d
Mendes;mɑ̃d
Marie-Claude Varaillas;mariklodə varaja
Varaillas;varaja
Marie-Christine Dalloz;mariʃristinə dalɔz
Dalloz;dalɔz
Emeric Salmon;əmɛrik salmɔ̃
Jean-François Lovisolo;ʒəɑ̃frɑ̃swa lɔvizɔlɔ
Lovisolo;lɔvizɔlɔ
Laurent Esquenet-Goxes;lor ɛskənətɡɔx
Esquenet-Goxes;ɛskənətɡɔx
Florian Chauche;flɔriɑ̃ ʃoʃ
Chauche;ʃoʃ
Annick Girardin;ɑ̃nikk ʒirardɛ̃
Girardin;ʒirardɛ̃
Samantha Cazebonne;samɑ̃ta kazɛbɔ̃n
Cazebonne;kazɛbɔ̃n
Perrine Goulet;pɛrrinə ɡulɛt
Jean-Philippe Tanguy;ʒəɑ̃filipə tɑ̃ɡyi
Maud Petit;mo pɛtit
Max Mathiasin;ma matiazɛ̃
Mathiasin;matiazɛ̃
Emmanuelle Anthoine;ɑ̃manɥɛl ɑ̃twan
Anthoine;ɑ̃twan
Antoine Armand;ɑ̃twan armɑ̃d
Armand;armɑ̃d
Catherine Dumas;katɛrinə dyma
Dumas;dyma
Éliane Assassi;elian asasi
Assassi;asasi
Mickaël Bouloux;mikkaə̈l bulu
Michel Lauzzana;miʃɛl lozzana
Lauzzana;lozzana
Vincent Louault;vɛ̃kɛn lwol
Louault;lwol
Vincent Thiébaut;vɛ̃kɛn tíbo
Thiébaut;tíbo
Delphine Lingemann;dɛlfinə lɛ̃ʒɛmɑ̃n
Lingemann;lɛ̃ʒɛmɑ̃n
Nicolas Meizonnet;nikɔla mɛzɔ̃nɛt
Meizonnet;mɛzɔ̃nɛt
Isabelle Périgault;izabɛlə periɡol
Périgault;periɡol
Laurent Burgoa;lorə byrɡɔa
Burgoa;byrɡɔa
Michel Laugier;miʃɛl loʒí
Laugier;loʒí
Jorys Bovet;ʒɔri bɔvɛt
Bovet;bɔvɛt
Mathilde Hignet;matildə iɲɛt
Hignet;iɲɛt
Maud Gatel;mo ɡatɛl
Mathieu Lefèvre;matjœ lɛfɛvr
Philippe Schreck;filipə sʃrɛkk
Schreck;sʃrɛkk
Anne-Marie Nédélec;ɑ̃nəmari nedelɛk
Nédélec;nedelɛk
Jérôme Durain;ʒeromə dyrɛ̃
Durain;dyrɛ̃
Lionel Vuibert;liɔnɛl vɥibɛr
Vuibert;vɥibɛr
Loïc Hervé;loik ɛrve
Hervé;ɛrve
Pierre Louault;piɛrrə lwol
Thomas Dossus;tɔma dɔsy
Dossus;dɔsy
Véronique Louwagie;verɔnikə luwaʒi
Louwagie;luwaʒi
Paul Molac;pol mɔlak
Molac;mɔlak
Béatrice Roullaud;beatrizə rulo
Roullaud;rulo
Gérard Longuet;ʒerar lɔ̃ɡyɛt
Longuet;lɔ̃ɡyɛt
Sylvie Vermeillet;silvi vɛrmɛj
Vermeillet;vɛrmɛj
Olivier Serva;ɔliví sɛrva
Serva;sɛrva
Françoise Férat;frɑ̃swazə fera
Férat;fera
Sophia Chikirou;sɔfia ʃikiru
Chikirou;ʃikiru
Rémy Rebeyrotte;remi rɛbɛrɔt
Rebeyrotte;rəbɛrɔt
Georges Patient;ʒɔrʒ patjɛ̃
Patient;patjɛ̃
Philippe Mouiller;filipə mujr
Mouiller;mujr
Jocelyne Guidez;ʒɔzɛlinə ɡyide
Guidez;ɡyide
Ludovic Haye;lydɔvik ɛ
Haye;ɛ
Stéphane Delautrette;stefanə dɛlotrɛt
Delautrette;dəlotrɛt
Christophe Naegelen;ʃristɔfə naəʒɛlɑ̃
Naegelen;naəʒɛlɑ̃
Michel Guiniot;miʃɛl ɡyiniɔ
Guiniot;ɡyiniɔ
Olivier Faure;ɔliví for
Faure;for
Alain David;alɛ̃ davi
David;davi
Perceval Gaillard;pɛrkɛval ɡajar
Gaillard;ɡajar
Dominique Faure;dɔminikə for
Jean-Christophe Combe;ʒəɑ̃ʃristɔfə kɔ̃b
Combe;kɔ̃b
Huguette Tiegna;yɡyɛtə tjɛɲa
Tiegna;tjɛɲa
Ahmed Laouedj;amɛ lawɛdʒ
Laouedj;lawɛdʒ
Jean-Charles Larsonneur;ʒəɑ̃ʃarl larsɔ̃nœr
Larsonneur;larsɔ̃nœr
Corinne Vignon;kɔrɛ̃nə viɲɔ̃
Vignon;viɲɔ̃
Olivier Véran;ɔliví verɑ̃
Véran;verɑ̃
Claire Guichard;klɛrə ɡyiʃar
Guichard;ɡyiʃar
Benjamin Saint-Huile;bɑ̃ʒamɛ̃ sɛ̃yj
Saint-Huile;sɛ̃yj
Fanta Berete;fɑ̃ta bərɛt
Berete;bərɛt
Marta de Cidrac;marta də sidrak
de Cidrac;də sidrak
Sylvie Retailleau;silvi rɛtajo
Éric Coquerel;erik kɔkərɛl
Coquerel;kɔkərɛl
Arnaud de Belenet;arno də bələnɛt
de Belenet;də bələnɛt
Joëlle Garriaud-Maylam;ʒɔɛlə ɡarriomɛlɑ̃
Garriaud-Maylam;ɡarriomɛlɑ̃
Serge Babary;sɛrʒə babari
Babary;babari
Didier Martin;didí martɛ̃
Emmanuel Macron;ɑ̃manɥɛl makrɔ̃
Macron;makrɔ̃
Aurélie Trouvé;oreli truve
Trouvé;truve
Sarah Legrain;sara lɛɡrɛ̃
Legrain;lɛɡrɛ̃
Graziella Melchior;ɡraziɛla mɛlʃiɔr
Melchior;mɛlʃiɔr
Patrice Joly;patrizə ʒɔli
Joly;ʒɔli
Isabelle Santiago;izabɛlə sɑ̃tjaɡɔ
Santiago;sɑ̃tjaɡɔ
Gilbert Favreau;ʒilbɛr favro
Favreau;favro
Sandrine Rousseau;sɑ̃drinə ruso
Sarah El Haïry;sara ɛl airi
El Haïry;əl airi
Sébastien Fagnen;sebastjɑ̃ faɲɑ̃
Fagnen;faɲɑ̃
Sonia Backès;sɔnia bakkɛ
Backès;bakkɛ
Jean-François Portarrieu;ʒəɑ̃frɑ̃swa pɔrtarrjœ
Portarrieu;pɔrtarrjœ
Benjamin Dirx;bɑ̃ʒamɛ̃ dirx
Dirx;dirx
Jean-Michel Arnaud;ʒəɑ̃miʃɛl arno
Arnaud;arno
Ingrid Dordain;ɛ̃ɡri dɔrdɛ̃
Dordain;dɔrdɛ̃
Félicie Gérard;felizi ʒerar
Florent Boudié;flɔrə budí
Boudié;budí
Jean-Noël Cardoux;ʒəɑ̃nɔɛl kardu
Cardoux;kardu
François Bonhomme;frɑ̃swa bɔnɔm
Bonhomme;bɔnɔm
Marc Le Fur;mark lə fyr
Le Fur;lə fyr
Philippe Ballard;filipə balar
Ballard;balar
Louis Margueritte;lwi marɡyɛrit
Margueritte;marɡyɛrit
Joël Labbé;ʒɔɛl labe
Labbé;labe
Christine Engrand;ʃristin ɑ̃ɡrɑ̃d
Engrand;ɑ̃ɡrɑ̃d
Alexandre Holroyd;alɛxɑ̃dr ɔlrwa
Holroyd;ɔlrwa
Alain Duffourg;alɛ̃ dyfurɡ
Duffourg;dyfurɡ
Laurent Marcangeli;lorə markɑ̃ʒɛli
Marcangeli;markɑ̃ʒɛli
Natalia Pouzyreff;natalia puzirɛf
Pouzyreff;puzirɛf
Virginie Lanlo;virʒini lɑ̃lɔ
Lanlo;lɑ̃lɔ
Laurence Rossignol;lorɑ̃sə rɔsiɲɔl
Rossignol;rɔsiɲɔl
Daniel Chasseing;daniɛl ʃasɛ̃ɡ
Chasseing;ʃasɛ̃ɡ
Jacques Grosperrin;ʒakk ɡrɔspɛrrɛ̃
Grosperrin;ɡrɔspɛrrɛ̃
Guillaume Gouffier Valente;ɡyjomə ɡufí valɑ̃t
Gouffier Valente;ɡufí valɑ̃t
Sophie Mette;sɔfi mɛt
Mette;mɛt
Philippe Nachbar;filipə naʃbar
Nachbar;naʃbar
Sandrine Josso;sɑ̃drinə ʒɔsɔ
Josso;ʒɔsɔ
Sébastien Chenu;sebastjɑ̃ ʃɛny
Chenu;ʃəny
Marjolaine Meynier-Millefert;marʒɔlɛnə mɛnímilɛfɛr
Meynier-Millefert;mɛnímilɛfɛr
Éric Woerth;erik wɔɛrt
Woerth;wɔɛrt
Jérôme Legavre;ʒeromə lɛɡavr
Legavre;ləɡavr
Elie Califer;əli kalife
Califer;kalife
Sylvie Ferrer;silvi fɛrre
Ferrer;fɛrre
Alain Marc;alɛ̃ mark
Marc;mark
Pierrick Berteloot;piɛrrikk bɛrtɛlɔɔ
Berteloot;bɛrtɛlɔɔ
Jean-Pierre Vigier;ʒəɑ̃piɛrrə viʒí
Jérôme Guedj;ʒeromə ɡyɛdʒ
Guedj;ɡyɛdʒ
François Bonneau;frɑ̃swa bɔ̃no
Bonneau;bɔ̃no
Stéphane Artano;stefan artanɔ
Artano;artanɔ
Hervé de Lépinau;ɛrve də lepino
de Lépinau;də lepino
Bénédicte Auzanot;benedit ozanɔ
Auzanot;ozanɔ
Pierre-Alain Roiron;piɛrrəalɛ̃ rwarɔ̃
Roiron;rwarɔ̃
Patrick Vignal;patrikk viɲal
Vignal;viɲal
Pascal Martin;paskal martɛ̃
Colette Mélot;kɔlɛtə melɔ
Mélot;melɔ
Marie Lebec;mari ləbɛk
Lebec;ləbɛk
Vincent Éblé;vɛ̃kɛn eble
Éblé;eble
Élise Leboucher;elizə lɛbuʃe
Leboucher;ləbuʃe
Michel Castellani;miʃəl kastɛlani
Castellani;kastɛlani
Jacques-Bernard Magner;ʒakkbɛrnar maɲe
Magner;maɲe
Jean-Baptiste Lemoyne;ʒəɑ̃baptistə lɛmwan
Lemoyne;ləmwan
Alexandre Ouizille;alɛxɑ̃drə wizij
Ouizille;wizij
Marie-Pierre Richer;maripiɛrrə riʃe
Richer;riʃe
Hubert Ott;ybɛr ɔ
Ott;ɔ
Karl Olive;karl ɔliv
Olive;ɔliv
Philippe Emmanuel;filip ɑ̃manɥɛl
Emmanuel;ɑ̃manɥɛl
Anne Le Hénanff;ɑ̃nə l enɑ̃f
Le Hénanff;l enɑ̃f
Sylvie Bonnet;silvi bɔ̃nɛt
Bonnet;bɔ̃nɛt
Béatrice Piron;beatrizə pirɔ̃
Piron;pirɔ̃
Benjamin Haddad;bɑ̃ʒamɛ̃ ada
Haddad;ada
Anne-Catherine Loisier;ɑ̃nəkatɛrinə lwazí
Loisier;lwazí
Brigitte Devésa;briʒitə dɛveza
Devésa;dəveza
Claudia Rouaux;klodia rwo
Rouaux;rwo
Éric Poulliat;erik pulia
Poulliat;pulia
Laurence Muller-Bronn;lorɑ̃sə mylebrɔ̃n
Muller-Bronn;mylebrɔ̃n
Jérôme Nury;ʒeromə nyri
Nury;nyri
Nicolas Pacquot;nikɔla pakkɔ
Pacquot;pakkɔ
Didier Marie;didí mari
Marie;mari
Cécile Rilhac;sesilə rilak
Rilhac;rilak
Céline Brulin;selinə brylɛ̃
Brulin;brylɛ̃
Denis Masséglia;dəni maseɡlia
Masséglia;maseɡlia
Christine Lavarde;ʃristinə lavard
Lavarde;lavard
Marie-Pierre Rixain;maripiɛrrə rixɛ̃
Rixain;rixɛ̃
Philippe Lottiaux;filipə lɔtio
Lottiaux;lɔtio
Frédéric Buval;frederik byval
Buval;byval
Yannick Haury;iɑ̃nikk ori
Haury;ori
Jérémie Patrier-Leitus;ʒeremi patrílɛty
Patrier-Leitus;patrílɛty
Jean-Pierre Bansard;ʒəɑ̃piɛrrə bɑ̃sar
Bansard;bɑ̃sar
Florence Lassarade;flɔrɑ̃sə lasarad
Lassarade;lasarad
Emmanuel Blairy;ɑ̃manɥɛl blɛri
Blairy;blɛri
Christian Redon-Sarrazy;ʃristjɑ̃ rɛdɔ̃sarrazi
Redon-Sarrazy;rədɔ̃sarrazi
Corinne Narassiguin;kɔrɛ̃nə narasiɡɥɛ̃
Narassiguin;narasiɡɥɛ̃
Amel Gacquerre;amɛl ɡakkɛrr
Gacquerre;ɡakkɛrr
Dany Wattebled;dani watɛblɛ
Wattebled;watɛblɛ
Audrey Bélim;odrɛ belɛ̃
Bélim;belɛ̃
Julie Lechanteux;ʒyli lɛʃɑ̃tœ
Lechanteux;ləʃɑ̃tœ
Dominique Théophile;dɔminikə teɔfil
Théophile;teɔfil
Ersilia Soudais;ɛrsilia sudɛ
Soudais;sudɛ
Stéphane Travert;stefanə travɛr
Travert;travɛr
Paul Toussaint Parigi;pol tusɛ̃ pariʒi
Parigi;pariʒi
Virginie Duby-Muller;virʒini dybimyle
Duby-Muller;dybimyle
Jacqueline Maquet;ʒakkəlinə makɛt
Sandrine Dogor-Such;sɑ̃drinə dɔɡɔrsyʃ
Dogor-Such;dɔɡɔrsyʃ
Fabrice Le Vigoureux;fabrizə lə viɡurœ
Le Vigoureux;lə viɡurœ
Caroline Parmentier;karɔlinə parmɑ̃tje
Parmentier;parmɑ̃tje
Jean-Pierre Pont;ʒəɑ̃piɛrrə pɔ̃t
Pont;pɔ̃t
Jean Sol;ʒəɑ̃ sɔl
Sol;sɔl
Didier Padey;didí padɛ
Padey;padɛ
Christine Pires Beaune;ʃristinə pir bon
Pires Beaune;pir bon
Guylène Pantel;ɡɥilɛnə pɑ̃tɛl
Pantel;pɑ̃tɛl
Jean-Luc Fichet;ʒəɑ̃lyk fiʃɛt
Fichet;fiʃɛt
Philippe Naillet;filipə naj
Naillet;naj
Simon Uzenat;simɔ̃ yzɛna
Uzenat;yzɛna
Christian Klinger;ʃristjɑ̃ klɛ̃ʒe
Klinger;klɛ̃ʒe
Géraldine Grangier;ʒeraldinə ɡrɑ̃ʒí
Grangier;ɡrɑ̃ʒí
Abdallah Hassani;abdala asani
Hassani;asani
Marion Canalès;mariɔ̃ kanalɛ
Canalès;kanalɛ
Jean-Baptiste Blanc;ʒəɑ̃baptistə blɑ̃
Idir Boumertit;idir bumɛrtit
Boumertit;bumɛrtit
René Pilato;rəne pilatɔ
Pilato;pilatɔ
Laurence Garnier;lorɑ̃sə ɡarní
Garnier;ɡarní
Jean-Marc Tellier;ʒəɑ̃mark tɛlí
Tellier;təlí
Claude Nougein;klodə nuʒɛ̃
Nougein;nuʒɛ̃
Vincent Capo-Canellas;vɛ̃kɛn kapɔkanɛla
Capo-Canellas;kapɔkanɛla
Hugues Saury;yɡy sori
Saury;sori
Jean-Luc Ruelle;ʒəɑ̃lyk rɥɛl
Ruelle;rɥəl
Catherine Jaouen;katɛrinə ʒawɑ̃
Jaouen;ʒawɑ̃
Carole Grandjean;karɔlə ɡrɑ̃dʒəɑ̃
Grandjean;ɡrɑ̃dʒəɑ̃
William Martinet;wiliɑ̃ martinɛt
Martinet;martinɛt
Monique Lubin;mɔnikə lybɛ̃
Lubin;lybɛ̃
Jean-Marc Boyer;ʒəɑ̃mark bwá
Stéphane Ravier;stefanə raví
Ravier;raví
Patricia Lemoine;patrizia lɛmwan
Lemoine;ləmwan
Guillaume Vuilletet;ɡyjomə vyjtɛt
Vuilletet;vyjtɛt
Henri Alfandari;ɑ̃ri alfɑ̃dari
Alfandari;alfɑ̃dari
Serge Mérillou;sɛrʒə merilu
Mérillou;merilu
Christopher Szczurek;ʃristɔfe szkzyrɛk
Szczurek;szkzyrɛk
Thibaut François;tibo frɑ̃swa
François;frɑ̃swa
Rachida Dati;raʃida datj
Dati;datj
David Habib;davi abib
Gilbert-Luc Devinaz;ʒilbɛrlyk dɛvinaz
Devinaz;dəvinaz
Alexandra Borchio Fontimp;alɛxɑ̃dra bɔrʃiɔ fɔ̃tɛ̃p
Borchio Fontimp;bɔrʃiɔ fɔ̃tɛ̃p
Frédéric Maillot;frederik majɔ
Maillot;majɔ
Aymeric Durox;ɛmɛrik dyrɔ
Durox;dyrɔ
Caroline Janvier;karɔlinə ʒɑ̃ví
Janvier;ʒɑ̃ví
Louis-Jean de Nicolaÿ;lwiʒəɑ̃ də nikɔlai
de Nicolaÿ;də nikɔlai
René-Paul Savary;rənepol savari
Savary;savari
Catherine Morin-Desailly;katərinə mɔrɛ̃dɛzaji
Morin-Desailly;mɔrɛ̃dɛzaji
Nicole Belloubet;nikɔlə bəlubɛt
Belloubet;bəlubɛt
Louise Morel;lwizə mɔrɛl
Morel;mɔrɛl
Teva Rohfritsch;təva rɔfritsʃ
Rohfritsch;rɔfritsʃ
Bruno Millienne;brynɔ miliɑ̃n
Millienne;miliɑ̃n
David Ros;davi rɔ
Ros;rɔ
Vincent Descoeur;vɛ̃kɛn dɛzœr
Descoeur;dəzœr
Sandra Regol;sɑ̃dra rɛɡɔl
Regol;rəɡɔl
Micheline Jacques;miʃəlinə ʒakk
Arthur Delaporte;artyr dɛlapɔrt
Delaporte;dəlapɔrt
Charles de Courson;ʃarl də kursɔ̃
de Courson;də kursɔ̃
Mereana Reid Arbelot;mərəana rɛ arbɛlɔ
Reid Arbelot;rɛ arbɛlɔ
Patrice Vergriete;patrizə vɛrɡriɛt
Vergriete;vɛrɡriɛt
Claude Malhuret;klodə malyrɛt
Malhuret;malyrɛt
Éric Girardin;erik ʒirardɛ̃
Danièle Obono;danìl ɔbɔnɔ
Obono;ɔbɔnɔ
Stéphane Séjourné;stefanə seʒurne
Séjourné;seʒurne
Brigitte Bourguignon;briʒitə burɡyiɲɔ̃
Bourguignon;burɡyiɲɔ̃
Alexandre Vincendet;alɛxɑ̃drə vɛ̃kɑ̃dɛt
Vincendet;vɛ̃kɑ̃dɛt
Emmanuel Taché de la Pagerie;ɑ̃manɥəl taʃe də la paʒɛri
Taché de la Pagerie;taʃe də la paʒɛri
Pascal Savoldelli;paskal savɔldɛli
Savoldelli;savɔldɛli
Michaël Taverne;miʃaə̈l tavɛrn
Taverne;tavɛrn
Jean-Pierre Cubertafon;ʒəɑ̃piɛrrə kybɛrtafɔ̃
Cubertafon;kybɛrtafɔ̃
François Cormier-Bouligeon;frɑ̃swa kɔrmíbuliʒɔ̃
Cormier-Bouligeon;kɔrmíbuliʒɔ̃
Corinne Imbert;kɔrɛ̃n ɛ̃bɛr
Imbert;ɛ̃bɛr
Lysiane Métayer;lisianə metɛ́
Métayer;metɛ́
Vincent Seitlinger;vɛ̃kɛn sɛtlɛ̃ʒe
Seitlinger;sɛtlɛ̃ʒe
Jean-Louis Bourlanges;ʒəɑ̃lwi burlɑ̃ʒ
Bourlanges;burlɑ̃ʒ
André Villiers;ɑ̃dre viliɛr
Villiers;viliɛr
Gisèle Lelouis;ʒizɛlə lɛlwi
Lelouis;lɛlwi
